Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SPI1 human	19/62	1.1545395638944486E-12	4.5488858817441274E-10	0	0	11.1652725434323	306.9034136770285	CD163;ITGAM;NCF2;ITGB2;PRG2;CYBB;RNASE2;CSF2RA;HCK;BCL6;CCL5;ITGAX;CTSG;BPI;PRTN3;MNDA;CD68;TLR4;ELANE
SPI1 mouse	12/40	2.2596040789892477E-8	4.451420035608818E-6	0	0	10.738903394255875	189.06366847823068	CSF1R;IGHM;BCL2L11;FCER1G;FLT3;CCL5;NCF4;MRC1;IRF8;IL7R;TLR4;ELANE
TP53 human	22/164	4.180907273610411E-7	5.4909248860083405E-5	0	0	3.9101274312541916	57.430260098696955	RB1;PLK1;BRCA1;MKI67;FOXM1;BRCA2;AQP3;THBS1;VEGFA;CCNA2;RECQL4;CCNB2;CCNA1;VCAN;REEP5;PRC1;ALOX5;CDK1;CASP1;FAS;CTSD;E2F7
E2F4 mouse	6/10	6.243104975143115E-7	6.149458400515968E-5	0	0	37.340673575129536	533.4719392367142	PLK4;RB1;RAD51;E2F2;MYBL2;BRCA1
E2F1 human	19/134	1.085252214690317E-6	8.551787451759697E-5	0	0	4.159168241965974	57.1207611571605	RB1;TOP2A;PCNA;CDKN2A;PLK1;BRCA1;FOXM1;THBS1;AURKB;AURKA;VEGFA;RAD51;RACGAP1;CCNE1;CDK1;MT1G;MYBL2;ECT2;ASF1B
ETS1 mouse	12/59	2.2954996239748505E-6	1.507378086410152E-4	0	0	6.391311593800345	82.98836910530193	IGHM;CSF1R;CD4;CDKN2A;SH2D1A;HMOX1;PRDM1;TIMP1;IL7R;CD3D;TLR4;VEGFA
NFKB1 human	30/303	2.8858790015382625E-6	1.584426304955411E-4	0	0	2.783833813245578	35.5096961469793	CD86;IL1RN;CXCL8;LPL;CD3G;NOD2;BRCA2;ICAM1;TNFSF13B;BCL2L11;ALOX5;CCL5;ITGAX;HMOX1;TIMP1;UPP1;CTSB;CCR2;VCAM1;PLAUR;VEGFA;WT1;ALOX5AP;SNAI1;FAS;TLR7;CYP2E1;FBP1;TLR2;HBEGF
JUN mouse	18/131	3.280039342142949E-6	1.584426304955411E-4	0	0	4.005146716348393	50.575611523494004	CSF1R;SPI1;SRXN1;CEBPD;SMURF1;CDKN2A;PLAUR;PRDM1;ICAM1;STAR;CCL5;HMOX1;MMP19;PLIN2;CD14;TIMP1;CTSE;PDK1
SP1 human	40/472	3.619247904720482E-6	1.584426304955411E-4	0	0	2.357472648800562	29.537350782372567	B4GALT1;ITGB2;FGL2;LPL;IRS2;CD1D;BRCA1;FOXM1;MPO;ICAM1;TYMP;RECQL4;ALOX5;CCL5;BSG;ITGAX;MYBL2;TIMP1;CD14;CTSB;CD163;CENPW;CDKN2A;SLC31A1;VDR;PLAUR;LYZ;VEGFA;CCNA2;SLC7A5;P2RX4;TCN2;STAR;WT1;IL2RB;FAS;MNDA;FBP1;HBEGF;TLR2
USF2 human	10/47	1.0495517801740592E-5	4.1352340138857933E-4	0	0	6.75147804054054	77.40274039656191	CD2;TCN2;HMOX1;BRCA1;BRCA2;THBS1;CTSD;FBP1;IGF2R;CTSB
RB1 human	8/31	1.799546105852164E-5	6.116754834397543E-4	0	0	8.672614342179559	94.75170263960305	RB1;PCNA;TFDP1;CDK1;E2F2;BRCA1;TGFBI;VEGFA
E2F4 human	7/23	1.8629710155525508E-5	6.116754834397543E-4	0	0	10.898346303501945	118.69119695243539	PLK4;RAD51;PLK1;MCM10;TTK;BRCA1;AURKB
RELA human	27/301	5.1837169187212395E-5	0.0014807239737907162	0	0	2.4862033104279453	24.532370287700424	CD86;IL1RN;CXCL8;LPL;BRCA2;ICAM1;BCL2L11;ALOX5;CCL5;ITGAX;HMOX1;TIMP1;UPP1;CTSB;CCR2;VCAM1;PLAUR;VEGFA;WT1;ALOX5AP;SNAI1;FAS;TLR7;CYP2E1;FBP1;TLR2;HBEGF
EP300 human	10/56	5.2614557444340174E-5	0.0014807239737907162	0	0	5.427989130434782	53.479359086223766	CCNB2;CXCL8;PCNA;VCAM1;RAD51;CCNE1;WT1;CYBB;BRCA1;VEGFA
E2F3 human	5/13	8.720288097690689E-5	0.002290529006993421	0	0	15.535252263906857	145.21224696873472	CCNA2;PLK1;CDK1;AURKA;VEGFA
SP3 human	14/113	1.2517459651352228E-4	0.0029828256961665725	0	0	3.5396107673594583	31.80623805482962	CDKN2A;PLAUR;SLC1A3;LPL;TYMP;VEGFA;TCN2;BSG;BPI;CD14;TIMP1;FBP1;CTSB;HBEGF
RUNX1 human	8/40	1.2870060110363384E-4	0.0029828256961665725	0	0	6.23051948051948	55.81312916230565	CSF1R;SPI1;ITGB2;BPI;TIMP1;MPO;ELANE;VEGFA
CEBPA human	9/51	1.3655017117614464E-4	0.002988931524633388	0	0	5.344603381014304	47.56065520946517	CD163;SPI1;STAR;ITGAX;HOMER3;S100A9;CSF2RA;ELANE;ICAM1
ATM human	6/22	1.4852425325929868E-4	0.0030799239886401936	0	0	9.329339378238341	82.23590895539391	PCNA;MTF1;PBK;FAS;FOXM1;VEGFA
JUN human	16/149	2.325364991336222E-4	0.004580969032932357	0	0	3.0136759220886864	25.213809180276144	CSTA;SPI1;VCAM1;CXCL8;VDR;PLAUR;BRCA1;TNFRSF1B;VEGFA;STAR;CA2;CCL5;ITGAX;FAS;MEF2D;PDK1
NFE2L2 human	5/16	2.684964936078683E-4	0.005037505641976196	0	0	11.296601199576621	92.8882543237027	CXCL8;HBB;HMOX1;BRCA1;SDHB
GATA1 human	9/57	3.2799544989316464E-4	0.005618704663387255	0	0	4.675065019505852	37.50575971232096	ALAS2;SPI1;WT1;PRG2;HBB;F13A1;CYBB;HBA2;BACH1
WT1 human	9/57	3.2799544989316464E-4	0.005618704663387255	0	0	4.675065019505852	37.50575971232096	CCNE1;VDR;IL2RB;ITGAX;IRF8;CD14;THBS1;HBEGF;VEGFA
RBL2 mouse	4/10	3.9544391322882686E-4	0.005648088571723294	0	0	16.551248923341948	129.6873373071267	CCNA2;PCNA;RAD51;BRCA1
SNAI1 human	4/10	3.9544391322882686E-4	0.005648088571723294	0	0	16.551248923341948	129.6873373071267	VDR;SNAI1;THBS1;HBEGF
TFDP1 human	4/10	3.9544391322882686E-4	0.005648088571723294	0	0	16.551248923341948	129.6873373071267	PCNA;CCNE1;CDK1;MYBL2
ETS2 mouse	6/26	4.012547621190699E-4	0.005648088571723294	0	0	7.461917098445596	58.359012016843955	CSF1R;CD4;CDKN2A;STAB1;SH2D1A;HMOX1
STAT1 human	11/84	4.013870050970869E-4	0.005648088571723294	0	0	3.76201532389134	29.421158716019477	CD86;CCR1;IRF8;HMOX1;FAS;TIMP1;UPP1;TNFSF13B;ICAM1;CTSB;ACAT1
HDAC2 human	6/27	4.990700601208442E-4	0.006780469092676297	0	0	7.106217616580311	54.02689597621661	CXCL8;CCNE1;ALOX5;PHB;CD1D;VEGFA
IRF8 human	4/11	6.023225273113039E-4	0.007910502525355124	0	0	14.186046511627907	105.18552727550589	NCF2;CYBB;CD68;TLR4
ARNT human	5/20	8.373376871765884E-4	0.010642291895083091	0	0	8.282449331608452	58.683498436566325	CCNE1;BRCA1;CTSD;VEGFA;MFSD2A
SP1 mouse	22/270	9.201545335076295E-4	0.011329402693812688	0	0	2.2264251578767706	15.56486910551881	CSF1R;CDKN2C;CEBPD;TESC;PLAUR;LPL;BACH1;NDRG1;ICAM1;VEGFA;SLC7A5;CCNA1;LGALS1;STAR;ALOX5;BSG;MRC1;KCTD13;MFN2;CD14;CTSE;TLR2
HIF1A mouse	5/21	0.0010641085730420728	0.012087318561128317	0	0	7.764391979301423	53.15206033516914	CITED2;BSG;SNAI1;HMOX1;VEGFA
NUPR1 mouse	3/6	0.0010737465726890637	0.012087318561128317	0	0	24.798709677419353	169.5388902381483	CCNA2;PAXIP1;HMOX1
ZBTB7A mouse	3/6	0.0010737465726890637	0.012087318561128317	0	0	24.798709677419353	169.5388902381483	CCNA2;BCL2L11;CDKN2A
STAT3 human	14/142	0.0013022882061535024	0.014252820922902221	0	0	2.7335160340314135	18.16047569835454	IL1RN;CXCL8;VDR;FLT3;PRDM1;PHB;ICAM1;VEGFA;STS;BCL6;HMOX1;FAS;TIMP1;S100A11
ZEB1 mouse	4/14	0.001664215321251559	0.01772164423170579	0	0	9.928682170542636	63.52769534144176	CD4;ST3GAL5;ITGA7;MITF
CEBPE human	3/7	0.0018247667162076921	0.017973952154645766	0	0	18.598064516129032	117.28503241149185	SPI1;PRG2;CTSG
NFATC1 human	3/7	0.0018247667162076921	0.017973952154645766	0	0	18.598064516129032	117.28503241149185	CD3G;CYP2E1;ICAM1
TRERF1 human	3/7	0.0018247667162076921	0.017973952154645766	0	0	18.598064516129032	117.28503241149185	CD86;LILRB1;LILRB4
NFKB1 mouse	17/200	0.0021599503727258635	0.02015859939321076	0	0	2.324113368231332	14.264640973813249	CD86;VCAM1;ITGAM;PLAUR;TREM1;VEGFA;TNFSF13B;WT1;ALOX5;CCL5;HMOX1;FAS;PLIN2;UPP1;TLR4;FBP1;TLR2
FOSL2 human	4/15	0.0022000501875839153	0.02015859939321076	0	0	9.025604886070003	55.23015929898816	BCL6;PLAUR;BRCA1;TIMP1
PTTG1 human	4/15	0.0022000501875839153	0.02015859939321076	0	0	9.025604886070003	55.23015929898816	LGALS1;CDK1;RAC1;VEGFA
TRP53 mouse	15/167	0.002261404497186356	0.020249849361168734	0	0	2.4664585776367525	15.025096395809271	PCNA;CDKN2C;SMURF1;FOXM1;NDRG1;THBS1;CKS1B;CCNA2;CCNB2;REEP5;PSME3;HMOX1;FAS;UPP1;GTSE1
E2F1 mouse	7/49	0.002713434326784418	0.022799253208277068	0	0	4.14613056636403	24.501725120196806	RB1;CCNA2;FBN2;PCNA;CDKN2C;CDKN2A;VEGFA
MYB human	6/37	0.0028173760054232967	0.022799253208277068	0	0	4.8113822497075045	28.252192737809708	CCNA1;CD4;WT1;CTSG;ELANE;ICAM1
CUX1 human	3/8	0.0028354401198111075	0.022799253208277068	0	0	14.87767741935484	87.26588142673744	RACGAP1;CYBB;ECT2
SMAD7 mouse	3/8	0.0028354401198111075	0.022799253208277068	0	0	14.87767741935484	87.26588142673744	GLB1;TNFSF13B;VEGFA
ZFP36 human	3/8	0.0028354401198111075	0.022799253208277068	0	0	14.87767741935484	87.26588142673744	CXCL8;SERPINB2;VEGFA
SREBF1 human	5/27	0.0034809890139189587	0.02717863406511737	0	0	5.645066447136305	31.953553293684138	LRP1;HMOX1;FAS;IRS2;HK2
ETS1 human	9/79	0.003518046541423822	0.02717863406511737	0	0	3.202080624187256	18.091273303697484	CD8A;CDKN2A;WT1;IL2RB;CASP1;F13A1;HMOX1;NDRG1;CTSB
USF1 human	8/65	0.0035998913376996972	0.02727609975103232	0	0	3.493278651173388	19.656160630297922	CD2;TCN2;SLC1A3;HMOX1;BRCA2;CTSD;FBP1;CTSB
ELF1 human	3/9	0.00413076792560876	0.030707972880940595	0	0	12.397419354838709	68.05305427631832	CYBB;BRCA2;CD68
EZH2 human	6/40	0.004215277786718565	0.03075591570309472	0	0	4.386162755257543	23.988098613644922	PCNA;VDR;CDKN2A;CCNE1;BRCA1;ADRB2
FOXO3 human	4/18	0.004494798200734877	0.032199099837991664	0	0	7.090439276485788	38.32265086587793	BCL2L11;BCL6;FOXM1;VEGFA
ESR2 human	4/19	0.0055204491497439735	0.03750098215515734	0	0	6.61739879414298	34.40581544009113	BRCA2;CD68;CTSD;VEGFA
GATA2 human	4/19	0.0055204491497439735	0.03750098215515734	0	0	6.61739879414298	34.40581544009113	SPI1;WT1;PRG2;CYBB
NFKBIA human	4/19	0.0055204491497439735	0.03750098215515734	0	0	6.61739879414298	34.40581544009113	CXCL8;CCL5;FAS;ICAM1
GFI1 mouse	3/10	0.005731627507688597	0.03827561420388657	0	0	10.625806451612902	54.84781761194556	SPI1;IL7R;ELANE
HDAC1 human	8/71	0.0061946461362856345	0.04067817629494233	0	0	3.1595959595959595	16.0636066713424	RECQL4;CXCL8;PCNA;CDKN2A;PHB;CD1D;BRCA2;ICAM1
ETS2 human	5/32	0.007400806230161381	0.04780192876530465	0	0	4.598485937425135	22.560936896716797	CD163;CXCL8;CDKN2A;CDK1;ICAM1
MEN1 human	3/11	0.007655123762681704	0.04864707681446115	0	0	9.297096774193548	45.298989147115385	RAD51;CDKN2C;BRCA1
AHR human	4/22	0.009500125923397369	0.05907214761020368	0	0	5.513637668676428	25.673979364911524	MT2A;PCNA;BRCA1;MFSD2A
JUND human	5/34	0.009595475753941714	0.05907214761020368	0	0	4.280902886202436	19.891059295566603	CSTA;BCL6;CCL5;PLAUR;TIMP1
STAT3 mouse	8/79	0.011603624705310903	0.07033581744449993	0	0	2.802414486921529	12.488785724911653	ENTPD1;SPI1;PNP;CEBPD;GFI1;PRDM1;PHB;VEGFA
TP73 human	3/13	0.012521526895961404	0.0747497211667999	0	0	7.436903225806452	32.57591155517704	VDR;CDK1;AQP3
ATF1 human	4/24	0.012979804012188609	0.07520651148238694	0	0	4.9617571059431524	21.55566241044204	TOP2A;CCNA1;PLAUR;MITF
HDAC4 human	4/24	0.012979804012188609	0.07520651148238694	0	0	4.9617571059431524	21.55566241044204	VCAM1;CDKN2A;WT1;VEGFA
IRF1 human	6/51	0.013812731324585254	0.07865092929279459	0	0	3.3120898100172713	14.182913578699052	VCAM1;NCF2;CCNE1;CCL5;CDK1;CYBB
PPARG human	7/66	0.01397351535658787	0.07865092929279459	0	0	2.9488667589966804	12.593405319286715	JAG1;CCNE1;HMOX1;PLIN2;CD36;ICAM1;ACAT1
TCF4 human	4/25	0.014986872836996271	0.08243448844735415	0	0	4.725236864771748	19.84873832933673	VCAN;MITF;PLD1;VEGFA
HIF1A human	8/83	0.015341053347826308	0.08243448844735415	0	0	2.6523982683982683	11.079658570922788	ALAS2;ITGB2;ALOX5AP;ALDOA;SDHB;TLR2;HBEGF;VEGFA
NFATC1 mouse	3/14	0.015482619657624892	0.08243448844735415	0	0	6.760469208211144	28.177887126356197	CX3CR1;PAG1;OSCAR
SNAI2 human	3/14	0.015482619657624892	0.08243448844735415	0	0	6.760469208211144	28.177887126356197	JAG1;VDR;UBE2D3
NFE2L2 mouse	6/53	0.01650168664876666	0.08668886052818751	0	0	3.1708190938154557	13.013969603207757	IL1RN;CDKN2C;SRXN1;HMOX1;FAS;CD36
RARA human	4/26	0.017179257909825385	0.08906088969041055	0	0	4.510218463706836	18.329764886205165	HCK;CCNA1;PRKCA;ICAM1
SATB1 human	3/15	0.018803269969999755	0.09621413465168706	0	0	6.196774193548387	24.62427337002339	SPI1;CYBB;MKI67
RELA mouse	10/121	0.01971050978556827	0.09813621933798286	0	0	2.2418121246246248	8.802706872723881	CD86;VCAM1;CDKN2A;WT1;CCL5;FAS;UPP1;ICAM1;TNFSF13B;TLR2
HDGF human	2/6	0.02042428930384415	0.09813621933798286	0	0	12.382731958762887	48.181586910667775	FAS;VEGFA
IKBKB human	2/6	0.02042428930384415	0.09813621933798286	0	0	12.382731958762887	48.181586910667775	CXCL8;VCAM1
MBD1 human	2/6	0.02042428930384415	0.09813621933798286	0	0	12.382731958762887	48.181586910667775	ALOX5;IRF8
PRDM1 human	2/6	0.02042428930384415	0.09813621933798286	0	0	12.382731958762887	48.181586910667775	PCNA;MKI67
